,Occupancy,Performance Metrics,Time,cpu_ratio,mem_fragmentation_ratio,mem_ratio,memtotal,memused,rejected_connections,swap_ratio,swaptotal,swapused,used_memory_human,used_memory_rss_human
156,0.83,Redis,2021-06-15 17:39:30,0.02,0.83,0.2,125.56,25.3,0,0.05,122.07,5.92,9.30M,7.72M
157,0.2,MEM,2021-06-15 17:39:30,0.02,0.83,0.2,125.56,25.3,0,0.05,122.07,5.92,9.30M,7.72M
158,0.02,CPU,2021-06-15 17:39:30,0.02,0.83,0.2,125.56,25.3,0,0.05,122.07,5.92,9.30M,7.72M
159,0.05,SWAP,2021-06-15 17:39:30,0.02,0.83,0.2,125.56,25.3,0,0.05,122.07,5.92,9.30M,7.72M
160,0.05,SWAP,2021-06-15 17:39:31,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
161,0.85,Redis,2021-06-15 17:39:31,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
162,0.2,MEM,2021-06-15 17:39:31,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
163,0.02,CPU,2021-06-15 17:39:31,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.12M,7.72M
166,0.02,CPU,2021-06-15 17:39:33,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.51M,7.77M
167,0.2,MEM,2021-06-15 17:39:33,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.51M,7.77M
164,0.05,SWAP,2021-06-15 17:39:33,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.51M,7.77M
165,0.82,Redis,2021-06-15 17:39:33,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.51M,7.77M
168,0.83,Redis,2021-06-15 17:39:34,0.02,0.83,0.2,125.56,25.27,0,0.05,122.07,5.92,9.33M,7.77M
169,0.05,SWAP,2021-06-15 17:39:34,0.02,0.83,0.2,125.56,25.27,0,0.05,122.07,5.92,9.33M,7.77M
171,0.02,CPU,2021-06-15 17:39:34,0.02,0.83,0.2,125.56,25.27,0,0.05,122.07,5.92,9.33M,7.77M
170,0.2,MEM,2021-06-15 17:39:34,0.02,0.83,0.2,125.56,25.27,0,0.05,122.07,5.92,9.33M,7.77M
174,0.21,MEM,2021-06-15 17:39:35,0.02,0.85,0.21,125.56,25.83,0,0.05,122.07,5.92,9.09M,7.77M
175,0.05,SWAP,2021-06-15 17:39:35,0.02,0.85,0.21,125.56,25.83,0,0.05,122.07,5.92,9.09M,7.77M
172,0.02,CPU,2021-06-15 17:39:35,0.02,0.85,0.21,125.56,25.83,0,0.05,122.07,5.92,9.09M,7.77M
173,0.85,Redis,2021-06-15 17:39:35,0.02,0.85,0.21,125.56,25.83,0,0.05,122.07,5.92,9.09M,7.77M
176,0.83,Redis,2021-06-15 17:39:36,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.37M,7.77M
177,0.21,MEM,2021-06-15 17:39:36,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.37M,7.77M
179,0.05,SWAP,2021-06-15 17:39:36,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.37M,7.77M
178,0.02,CPU,2021-06-15 17:39:36,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.37M,7.77M
180,0.83,Redis,2021-06-15 17:39:38,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.40M,7.77M
181,0.05,SWAP,2021-06-15 17:39:38,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.40M,7.77M
182,0.02,CPU,2021-06-15 17:39:38,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.40M,7.77M
183,0.21,MEM,2021-06-15 17:39:38,0.02,0.83,0.21,125.56,26.54,0,0.05,122.07,5.92,9.40M,7.77M
186,0.02,CPU,2021-06-15 17:42:22,0.02,0.83,0.19,125.56,24.32,0,0.05,122.07,5.92,9.24M,7.72M
184,0.05,SWAP,2021-06-15 17:42:22,0.02,0.83,0.19,125.56,24.32,0,0.05,122.07,5.92,9.24M,7.72M
185,0.83,Redis,2021-06-15 17:42:22,0.02,0.83,0.19,125.56,24.32,0,0.05,122.07,5.92,9.24M,7.72M
187,0.19,MEM,2021-06-15 17:42:22,0.02,0.83,0.19,125.56,24.32,0,0.05,122.07,5.92,9.24M,7.72M
189,0.05,SWAP,2021-06-15 17:42:23,0.02,0.86,0.19,125.56,24.4,0,0.05,122.07,5.92,8.98M,7.72M
188,0.86,Redis,2021-06-15 17:42:23,0.02,0.86,0.19,125.56,24.4,0,0.05,122.07,5.92,8.98M,7.72M
191,0.02,CPU,2021-06-15 17:42:23,0.02,0.86,0.19,125.56,24.4,0,0.05,122.07,5.92,8.98M,7.72M
190,0.19,MEM,2021-06-15 17:42:23,0.02,0.86,0.19,125.56,24.4,0,0.05,122.07,5.92,8.98M,7.72M
194,0.19,MEM,2021-06-15 17:42:25,0.02,0.83,0.19,125.56,24.41,0,0.05,122.07,5.92,9.34M,7.72M
192,0.02,CPU,2021-06-15 17:42:25,0.02,0.83,0.19,125.56,24.41,0,0.05,122.07,5.92,9.34M,7.72M
193,0.83,Redis,2021-06-15 17:42:25,0.02,0.83,0.19,125.56,24.41,0,0.05,122.07,5.92,9.34M,7.72M
195,0.05,SWAP,2021-06-15 17:42:25,0.02,0.83,0.19,125.56,24.41,0,0.05,122.07,5.92,9.34M,7.72M
199,0.82,Redis,2021-06-15 17:42:26,0.02,0.82,0.19,125.56,24.32,0,0.05,122.07,5.92,9.41M,7.72M
